route_short_name,direction_id,shape_pt_lat,shape_pt_lon,shape_dist_traveled,route_long_name
VM23B,0,63.333273,10.365137,0.0,Brattøra - St. Olavs - Hallset - Flatåsen - Sandmoen
VM23B,0,63.333359,10.365682,29.0,Brattøra - St. Olavs - Hallset - Flatåsen - Sandmoen
VM23B,0,63.33355,10.366473,74.0,Brattøra - St. Olavs - Hallset - Flatåsen - Sandmoen
VM23B,0,63.333758,10.367053,111.0,Brattøra - St. Olavs - Hallset - Flatåsen - Sandmoen
VM23B,0,63.333984,10.367558,147.0,Brattøra - St. Olavs - Hallset - Flatåsen - Sandmoen
VM23B,0,63.334197,10.367944,177.0,Brattøra - St. Olavs - Hallset - Flatåsen - Sandmoen
VM23B,0,63.33452,10.36843,221.0,Brattøra - St. Olavs - Hallset - Flatåsen - Sandmoen
VM23B,0,63.334768,10.368705,252.0,Brattøra - St. Olavs - Hallset - Flatåsen - Sandmoen
VM23B,0,63.335248,10.369046,308.0,Brattøra - St. Olavs - Hallset - Flatåsen - Sandmoen
VM23B,0,63.335629,10.369301,352.0,Brattøra - St. Olavs - Hallset - Flatåsen - Sandmoen
VM23B,0,63.336509,10.369646,452.0,Brattøra - St. Olavs - Hallset - Flatåsen - Sandmoen
VM23B,0,63.337692,10.370164,586.0,Brattøra - St. Olavs - Hallset - Flatåsen - Sandmoen
VM23B,0,63.338056,10.370369,628.0,Brattøra - St. Olavs - Hallset - Flatåsen - Sandmoen
VM23B,0,63.338192,10.370446,644.0,Brattøra - St. Olavs - Hallset - Flatåsen - Sandmoen
VM23B,0,63.338762,10.370883,711.0,Brattøra - St. Olavs - Hallset - Flatåsen - Sandmoen
VM23B,0,63.339221,10.371271,766.0,Brattøra - St. Olavs - Hallset - Flatåsen - Sandmoen
VM23B,0,63.339663,10.371747,820.0,Brattøra - St. Olavs - Hallset - Flatåsen - Sandmoen
VM23B,0,63.341815,10.374294,1092.0,Brattøra - St. Olavs - Hallset - Flatåsen - Sandmoen
VM23B,0,63.342209,10.374718,1141.0,Brattøra - St. Olavs - Hallset - Flatåsen - Sandmoen
VM23B,0,63.34334,10.37591,1280.0,Brattøra - St. Olavs - Hallset - Flatåsen - Sandmoen
VM23B,0,63.344256,10.376771,1391.0,Brattøra - St. Olavs - Hallset - Flatåsen - Sandmoen
VM23B,0,63.344297,10.376865,1398.0,Brattøra - St. Olavs - Hallset - Flatåsen - Sandmoen
VM23B,0,63.344745,10.377247,1451.0,Brattøra - St. Olavs - Hallset - Flatåsen - Sandmoen
VM23B,0,63.345219,10.377559,1506.0,Brattøra - St. Olavs - Hallset - Flatåsen - Sandmoen
VM23B,0,63.34527,10.37762,1513.0,Brattøra - St. Olavs - Hallset - Flatåsen - Sandmoen
VM23B,0,63.345346,10.377777,1524.0,Brattøra - St. Olavs - Hallset - Flatåsen - Sandmoen
VM23B,0,63.345429,10.377758,1534.0,Brattøra - St. Olavs - Hallset - Flatåsen - Sandmoen
