route_short_name,direction_id,shape_pt_lat,shape_pt_lon,shape_dist_traveled,route_long_name
VM2025,1,63.432503,10.393999,7268.0,Shuttlebuss VM
VM2025,1,63.433169,10.393595,7268.0,Shuttlebuss VM
VM2025,1,63.433089,10.392094,7268.0,Shuttlebuss VM
VM2025,1,63.432915,10.391168,7268.0,Shuttlebuss VM
VM2025,1,63.432373,10.389401,7268.0,Shuttlebuss VM
VM2025,1,63.431927,10.387551,7268.0,Shuttlebuss VM
VM2025,1,63.431640,10.386033,7268.0,Shuttlebuss VM
VM2025,1,63.431449,10.384514,7268.0,Shuttlebuss VM
VM2025,1,63.431284,10.382418,7268.0,Shuttlebuss VM
VM2025,1,63.431163,10.380341,7268.0,Shuttlebuss VM
VM2025,1,63.431132,10.378952,7268.0,Shuttlebuss VM
VM2025,1,63.431066,10.378316,7268.0,Shuttlebuss VM
VM2025,1,63.430924,10.377982,7268.0,Shuttlebuss VM
VM2025,1,63.430476,10.377576,7268.0,Shuttlebuss VM
VM2025,1,63.430308,10.377484,7268.0,Shuttlebuss VM
VM2025,1,63.430316,10.375348,8579.0,Shuttlebuss VM
VM2025,1,63.4303,10.374986,8597.0,Shuttlebuss VM
VM2025,1,63.430251,10.374519,8621.0,Shuttlebuss VM
VM2025,1,63.430063,10.373608,8671.0,Shuttlebuss VM
VM2025,1,63.42998,10.373261,8691.0,Shuttlebuss VM
VM2025,1,63.429886,10.37276,8718.0,Shuttlebuss VM
VM2025,1,63.429237,10.367588,8986.0,Shuttlebuss VM
VM2025,1,63.429215,10.367293,9001.0,Shuttlebuss VM
VM2025,1,63.429224,10.367191,9006.0,Shuttlebuss VM
VM2025,1,63.429166,10.367306,9015.0,Shuttlebuss VM
VM2025,1,63.429102,10.366978,9033.0,Shuttlebuss VM
VM2025,1,63.429051,10.367033,9039.0,Shuttlebuss VM
VM2025,1,63.428894,10.367087,9057.0,Shuttlebuss VM
VM2025,1,63.428497,10.367143,9101.0,Shuttlebuss VM
VM2025,1,63.428284,10.366974,9126.0,Shuttlebuss VM
VM2025,1,63.428282,10.366905,9130.0,Shuttlebuss VM
VM2025,1,63.428268,10.366826,9134.0,Shuttlebuss VM
VM2025,1,63.428211,10.36672,9142.0,Shuttlebuss VM
VM2025,1,63.428174,10.366705,9146.0,Shuttlebuss VM
VM2025,1,63.428139,10.366716,9150.0,Shuttlebuss VM
VM2025,1,63.428083,10.366802,9158.0,Shuttlebuss VM
VM2025,1,63.428066,10.36687,9162.0,Shuttlebuss VM
VM2025,1,63.427824,10.367137,9192.0,Shuttlebuss VM
VM2025,1,63.427547,10.367219,9223.0,Shuttlebuss VM
VM2025,1,63.427389,10.367324,9241.0,Shuttlebuss VM
VM2025,1,63.426112,10.36853,9396.0,Shuttlebuss VM
VM2025,1,63.425595,10.369109,9460.0,Shuttlebuss VM
VM2025,1,63.423996,10.371448,9673.0,Shuttlebuss VM
VM2025,1,63.423606,10.372,9725.0,Shuttlebuss VM
VM2025,1,63.423394,10.372209,9751.0,Shuttlebuss VM
VM2025,1,63.423226,10.372314,9770.0,Shuttlebuss VM
VM2025,1,63.42303,10.37235,9792.0,Shuttlebuss VM
VM2025,1,63.422384,10.372313,9864.0,Shuttlebuss VM
VM2025,1,63.422108,10.372405,9895.0,Shuttlebuss VM
VM2025,1,63.421367,10.372866,9981.0,Shuttlebuss VM
VM2025,1,63.42125,10.37291,9994.0,Shuttlebuss VM
VM2025,1,63.421034,10.372959,10018.0,Shuttlebuss VM
VM2025,1,63.420419,10.372959,10087.0,Shuttlebuss VM
VM2025,1,63.420237,10.372896,10108.0,Shuttlebuss VM
VM2025,1,63.419754,10.37255,10164.0,Shuttlebuss VM
VM2025,1,63.419603,10.37251,10181.0,Shuttlebuss VM
VM2025,1,63.419281,10.372593,10217.0,Shuttlebuss VM
VM2025,1,63.41917,10.372682,10230.0,Shuttlebuss VM
VM2025,1,63.419045,10.37262,10245.0,Shuttlebuss VM
VM2025,1,63.418708,10.372671,10282.0,Shuttlebuss VM
VM2025,1,63.418495,10.372641,10306.0,Shuttlebuss VM
VM2025,1,63.418278,10.372545,10331.0,Shuttlebuss VM
VM2025,1,63.418082,10.372399,10354.0,Shuttlebuss VM
VM2025,1,63.417778,10.372102,10391.0,Shuttlebuss VM
VM2025,1,63.417069,10.371334,10479.0,Shuttlebuss VM
VM2025,1,63.416667,10.370789,10531.0,Shuttlebuss VM
VM2025,1,63.416481,10.370477,10557.0,Shuttlebuss VM
VM2025,1,63.416199,10.369915,10599.0,Shuttlebuss VM
VM2025,1,63.414456,10.365793,10882.0,Shuttlebuss VM
VM2025,1,63.414052,10.364861,10947.0,Shuttlebuss VM
VM2025,1,63.413454,10.363785,11033.0,Shuttlebuss VM
VM2025,1,63.413052,10.363158,11087.0,Shuttlebuss VM
VM2025,1,63.412368,10.362247,11176.0,Shuttlebuss VM
VM2025,1,63.411566,10.361423,11274.0,Shuttlebuss VM
VM2025,1,63.411086,10.361098,11330.0,Shuttlebuss VM
VM2025,1,63.410334,10.360624,11417.0,Shuttlebuss VM
VM2025,1,63.407555,10.359516,11732.0,Shuttlebuss VM
VM2025,1,63.40637,10.359073,11866.0,Shuttlebuss VM
VM2025,1,63.405966,10.35888,11912.0,Shuttlebuss VM
VM2025,1,63.405947,10.358812,11916.0,Shuttlebuss VM
VM2025,1,63.405886,10.358727,11924.0,Shuttlebuss VM
VM2025,1,63.405851,10.358719,11928.0,Shuttlebuss VM
VM2025,1,63.405817,10.358733,11932.0,Shuttlebuss VM
VM2025,1,63.405763,10.358818,11939.0,Shuttlebuss VM
VM2025,1,63.405746,10.358883,11943.0,Shuttlebuss VM
VM2025,1,63.405544,10.358961,11966.0,Shuttlebuss VM
VM2025,1,63.403971,10.358386,12144.0,Shuttlebuss VM
VM2025,1,63.40388,10.35833,12154.0,Shuttlebuss VM
VM2025,1,63.40388,10.358254,12158.0,Shuttlebuss VM
VM2025,1,63.403852,10.358118,12165.0,Shuttlebuss VM
VM2025,1,63.403789,10.358028,12174.0,Shuttlebuss VM
VM2025,1,63.403706,10.358041,12183.0,Shuttlebuss VM
VM2025,1,63.403645,10.358165,12192.0,Shuttlebuss VM
VM2025,1,63.403632,10.358254,12197.0,Shuttlebuss VM
VM2025,1,63.402778,10.357929,12293.0,Shuttlebuss VM
VM2025,1,63.401739,10.357479,12411.0,Shuttlebuss VM
VM2025,1,63.401495,10.357408,12439.0,Shuttlebuss VM
VM2025,1,63.40147,10.357244,12448.0,Shuttlebuss VM
VM2025,1,63.401407,10.35716,12456.0,Shuttlebuss VM
VM2025,1,63.401356,10.357156,12461.0,Shuttlebuss VM
VM2025,1,63.40132,10.35719,12466.0,Shuttlebuss VM
VM2025,1,63.401274,10.357329,12474.0,Shuttlebuss VM
VM2025,1,63.401269,10.357397,12478.0,Shuttlebuss VM
VM2025,1,63.400951,10.357506,12514.0,Shuttlebuss VM
VM2025,1,63.399927,10.358071,12631.0,Shuttlebuss VM
VM2025,1,63.39956,10.358233,12673.0,Shuttlebuss VM
VM2025,1,63.399311,10.35824,12701.0,Shuttlebuss VM
VM2025,1,63.399018,10.358127,12734.0,Shuttlebuss VM
VM2025,1,63.398374,10.357596,12810.0,Shuttlebuss VM
VM2025,1,63.398182,10.357442,12833.0,Shuttlebuss VM
VM2025,1,63.398184,10.357361,12837.0,Shuttlebuss VM
VM2025,1,63.398149,10.357216,12845.0,Shuttlebuss VM
VM2025,1,63.398116,10.357173,12850.0,Shuttlebuss VM
VM2025,1,63.398078,10.35716,12854.0,Shuttlebuss VM
VM2025,1,63.398019,10.357207,12861.0,Shuttlebuss VM
VM2025,1,63.397998,10.357257,12864.0,Shuttlebuss VM
VM2025,1,63.397364,10.356176,12953.0,Shuttlebuss VM
VM2025,1,63.39692,10.35529,13020.0,Shuttlebuss VM
VM2025,1,63.396702,10.354763,13056.0,Shuttlebuss VM
VM2025,1,63.396582,10.354357,13080.0,Shuttlebuss VM
VM2025,1,63.396609,10.354312,1168.0,Brattøra - Shuttlebuss VM
VM2025,1,63.396638,10.354175,1176.0,Brattøra - Shuttlebuss VM
VM2025,1,63.396633,10.354131,1178.0,Brattøra - Shuttlebuss VM
VM2025,1,63.396621,10.354028,1183.0,Brattøra - Shuttlebuss VM
VM2025,1,63.396568,10.353936,1191.0,Brattøra - Shuttlebuss VM
VM2025,1,63.3965,10.353938,1198.0,Brattøra - Shuttlebuss VM
VM2025,1,63.396471,10.353975,1202.0,Brattøra - Shuttlebuss VM
VM2025,1,63.396319,10.353503,1231.0,Brattøra - Shuttlebuss VM
VM2025,1,63.396128,10.353096,1261.0,Brattøra - Shuttlebuss VM
VM2025,1,63.395744,10.352289,1319.0,Brattøra - Shuttlebuss VM
VM2025,1,63.395464,10.351783,1360.0,Brattøra - Shuttlebuss VM
VM2025,1,63.395195,10.351353,1397.0,Brattøra - Shuttlebuss VM
VM2025,1,63.3949,10.35094,1435.0,Brattøra - Shuttlebuss VM
VM2025,1,63.394578,10.350548,1476.0,Brattøra - Shuttlebuss VM
VM2025,1,63.39411,10.350091,1533.0,Brattøra - Shuttlebuss VM
VM2025,1,63.392438,10.34864,1733.0,Brattøra - Shuttlebuss VM
VM2025,1,63.391102,10.347498,1893.0,Brattøra - Shuttlebuss VM
VM2025,1,63.390693,10.347212,1940.0,Brattøra - Shuttlebuss VM
VM2025,1,63.390471,10.34712,1966.0,Brattøra - Shuttlebuss VM
VM2025,1,63.390485,10.347053,1969.0,Brattøra - Shuttlebuss VM
VM2025,1,63.390482,10.346906,1977.0,Brattøra - Shuttlebuss VM
VM2025,1,63.39044,10.346794,1984.0,Brattøra - Shuttlebuss VM
VM2025,1,63.390414,10.346782,1987.0,Brattøra - Shuttlebuss VM
VM2025,1,63.390375,10.346763,1991.0,Brattøra - Shuttlebuss VM
VM2025,1,63.390316,10.346825,1999.0,Brattøra - Shuttlebuss VM
VM2025,1,63.390296,10.346885,2002.0,Brattøra - Shuttlebuss VM
VM2025,1,63.390086,10.34662,2029.0,Brattøra - Shuttlebuss VM
VM2025,1,63.389565,10.345644,2105.0,Brattøra - Shuttlebuss VM
VM2025,1,63.389281,10.345062,2148.0,Brattøra - Shuttlebuss VM
VM2025,1,63.389015,10.344449,2191.0,Brattøra - Shuttlebuss VM
VM2025,1,63.388813,10.343895,2226.0,Brattøra - Shuttlebuss VM
VM2025,1,63.388375,10.342097,2329.0,Brattøra - Shuttlebuss VM
VM2025,1,63.388329,10.341704,2349.0,Brattøra - Shuttlebuss VM
VM2025,1,63.388213,10.3407,2401.0,Brattøra - Shuttlebuss VM
VM2025,1,63.388126,10.33935,2469.0,Brattøra - Shuttlebuss VM
VM2025,1,63.388109,10.338823,2496.0,Brattøra - Shuttlebuss VM
VM2025,1,63.388141,10.338815,2499.0,Brattøra - Shuttlebuss VM
VM2025,1,63.388194,10.33874,2506.0,Brattøra - Shuttlebuss VM
VM2025,1,63.388217,10.33861,2513.0,Brattøra - Shuttlebuss VM
VM2025,1,63.388203,10.338473,2520.0,Brattøra - Shuttlebuss VM
VM2025,1,63.388156,10.33838,2527.0,Brattøra - Shuttlebuss VM
VM2025,1,63.388125,10.338362,2531.0,Brattøra - Shuttlebuss VM
VM2025,1,63.388124,10.337601,2569.0,Brattøra - Shuttlebuss VM
VM2025,1,63.388166,10.33546,2676.0,Brattøra - Shuttlebuss VM
VM2025,1,63.388191,10.33281,2808.0,Brattøra - Shuttlebuss VM
VM2025,1,63.388077,10.33146,2877.0,Brattøra - Shuttlebuss VM
VM2025,1,63.387848,10.330354,2938.0,Brattøra - Shuttlebuss VM
VM2025,1,63.38763,10.329274,2997.0,Brattøra - Shuttlebuss VM
VM2025,1,63.387683,10.329095,3008.0,Brattøra - Shuttlebuss VM
VM2025,1,63.387682,10.328881,3019.0,Brattøra - Shuttlebuss VM
VM2025,1,63.387628,10.328704,3029.0,Brattøra - Shuttlebuss VM
VM2025,1,63.387539,10.328625,3040.0,Brattøra - Shuttlebuss VM
VM2025,1,63.387445,10.328671,3051.0,Brattøra - Shuttlebuss VM
VM2025,1,63.387293,10.328159,3081.0,Brattøra - Shuttlebuss VM
VM2025,1,63.387057,10.327569,3121.0,Brattøra - Shuttlebuss VM
